sentimen, Tweet
['1'],"['revisi', 'teliti', 'lapang', 'bab', 'data', 'salah', 'hotel', 'yoyakarta', 'dipermasalahin', 'dosen', 'uji', 'yoyakarta', 'data', 'kayak', 'doang', 'informanya', 'hubungin', 'lari', 'tanggung']"
['1'],"['beliau', 'bilang', 'jadwal', 'uji', 'semester', 'tanggal', 'mei', 'milik', 'protes', 'ya', 'nama', 'mahasiswa', 'tua', 'lihat', 'jadwal', 'uji', 'semester', 'kampus', 'boro', 'diam', 'singgung', 'kena', 'jadwal', 'uji', 'final', 'beliau']"
['-1'],"['anti', 'bank', 'bank', 'club', 'gue', 'info', 'risen', 'makan', 'duit', 'riba', 'salah', 'rekan', 'pria', 'tawan', 'kampus', 'berani', 'putus', 'risen', 'biar', 'makan', 'duit', 'riba', 'wkwk']"
['1'],"['dosen', 'lihat', 'asli']"
['-1'],"['keren', 'bilang', 'anti', 'islam', 'triliun', 'hektar', 'kampus', 'rujuk', 'islam', 'dunia', 'kelas', 'azhar', 'proyek', 'pondok', 'pesantren', 'madrasah', 'masjid', 'fasilitas', 'umat', 'bilang', 'beliau']"
['1'],"['ijazah', 'dadak', 'selip', 'langsung', 'bayang', 'juang', 'kampus', 'teliti', 'skripsi', 'deh', 'el', 'el', 'ya', 'asa']"
['-1'],"['alumni', 'praktik', 'kampus', 'izin', 'harusnyakan', 'izin', 'alumnus', 'pakai', 'fasilitas', 'negara', 'otoritas', 'kampus']"
['-1'],"['knpsih', 'dosen', 'adzan', 'gapernah', 'break', 'gitu', 'nyerocos', 'mulu', 'kunyuk']"
['1'],"['compile', 'assignment', '*sinting', 'lengan', 'baju*']"
['0'],"['rt', 'user', 'mahasiswi', 'dipaksa', 'ngemot', 'kontol', 'dosen', 'sebelumndi', 'entot', 'nilai', 'yg', 'terbaik', 'kelasnya', '\\xf0\\x9f\\x98\\xae\\nurl']"
['0'],"['rt', 'user', 'dipaksa', 'layanin', 'kontol', 'dosen\\n\\nurl']"
['1'],"['peluk', 'usap', 'muka', 'gua', 'rumah', 'gua', 'pager', 'kampus', 'pocong']"
['1'],"['assignments', 'okaynya', 'pensyarah', 'assignment', 'lambat', 'bagitahu', 'minggu', 'dah', 'kena', 'submittt']"
['1'],"['promosinya', 'kampus', 'kuning', 'oke', 'wkwkwk']"
['-1'],"['takleh', 'kampus', 'nak', 'finale', 'dahh', 'nak', 'break', 'kejapp', 'penang', 'ja', 'duduk', 'penang', 'pon']"
['0'],"['lembaga', 'pemeringkat', 'scimago', 'institutions', 'rankings', 'sir', 'merilis', 'peringkat', 'kampus', 'terbaik', 'indonesia', '2021']"
['0'],"['*diploma', 'kampus', 'batu', 'pahat*', '1ab107', 'diploma', 'human', 'resource', 'management', 'r/345/4/0042', '03/2025', 'mqa/fa', '5']"
['1'],"['event', 'dahliah', 'dah', 'handle', 'struggle', 'sbb', 'assignment']"
['1'],"['tolong', 'periksa', 'sikit', 'batu', 'temerloh', 'nak', 'assignment', 'terbantut', 'terima', 'kasi']"
['0'],"['masuk', 'kampus', 'kampus', 'den', 'kat', 'batu', 'pahat']"
['-1'],"['kesian', 'budak', 'universiti', 'budak', '2', 'ngadap', 'screen', 'laptop', 'takleh', 'nak', 'fefeeling', 'bercinta', 'kat', 'cafeteria', 'event', 'masscom', 'lepastu', 'langgar', 'langgar', 'kertas', 'assignment', 'berterabur']"
['-1'],"['honestly', 'mok', 'tido', 'assignment', 'banking', 'tok', 'ghosting', 'marek', 'sikpat', 'tido', 'disuruh', 'polah', 'ass', 'tok', 'alu']"
['0'],"['peletakan', 'batu', 'kampus', 'psdku', 'unp', 'sawahlunto']"
['-1'],"['dosen', 'indo', 'kaya', 'gini', 'ya', 'kaya', 'dewa', 'orang', 'tinggal', 'aja', 'kek', 'berpendidikan', 'dah', 'jawa']"
['0'],"['ya', 'faham', 'faham', 'aja', 'dosen']"
['1'],"['belajar', 'makan', 'tidur', 'berak', 'muntah', 'fikir', 'pasal', 'assignment', 'takde', 'nak', 'pakai', 'socmed', 'lang']"
['1'],"['mcm', 'week', 'berik', 'abis', 'assignment', 'nak', 'sik', 'berik', 'dolok']"
['0'],['dosen']
['-1'],"['kau', 'terpaling', 'belajar', 'students', 'assignment', 'kena', 'koyak', 'orang', 'ramai', 'rilek']"
['0'],"['*diploma', 'kampus', 'batu', 'pahat*', 'ab107', 'diploma', 'human', 'resource', 'management', 'r/345/4/0042', '03/2025', 'mqa/fa', '5']"
['1'],"['bagus', 'deh', 'gitu']"
['1'],"['semoga', 'cepat', 'sembuh', 'harap', 'lecture2', 'kat', 'malaysia', 'assignment', 'akal', 'sikit']"
['1'],"['salam', 'apresiasi', 'barisan', 'jawatankuasa', 'perwakilan', 'komander', 'bsm', 'uitm', 'cawangan', 'pahang', 'kampus', 'jengka']"
['1'],"['bangunan', 'pentadbiran', 'usim', 'bangunan', 'canselori', '2005', 'kuim', 'berpindah', 'kampus', 'bandar']"
['0'],"['pantasan', 'kampus', 'kabar', 'yg', 'mengerjutkan', 'selamat', 'jalan', 'libra', 'semoga', 'amal', 'ibada']"
['0'],"['langsung', 'wae', 'bu', 'dosen']"
['1'],"['nak', 'madah', 'zaman', 'study', 'sorg2', 'waima', 'makan', 'molah', 'assignment']"
['-1'],"['nak', 'assignment', 'takde', 'motivasi', 'nak', 'main', 'game', 'screen', 'protector', 'takpo', 'tengok', 'documentary', 'jelah']"
['1'],"['assignment', 'taknak', 'nak', 'pergi', 'library', 'niii']"
['1'],"['cuti', 'midsem', 'tempoh', 'bertenamg', 'students', 'tu', 'nak', 'selesaikan', 'assignment', 'homework']"
['1'],"['terima', 'kasih', 'teman2', 'mas', 'baca', 'yg', 'perpustakaan', 'kampus']"
['1'],"['menyesal', 'pulang', 'indonesia', 'bersyukur', 'menemukan', 'komunitas', 'epistemik', 'yg', 'kampus', 'kawan', 'yg', 'kemewahan', 'yg', 'pulang', 'sekolah', 'larut', 'urusan', 'administratif', 'bikin', 'lpj']"
['-1'],"['hand', 'assignments', 'time', 'bodoh', 'korg', 'asyik', 'nak', 'complain', 'habes2', 'lecturer', 'pon', 'ade', 'nak', 'kene', 'habeskan', 'marking', 'ape', 'korg', 'pikir', 'mmg', 'lecturer', 'nak', 'susahkan', 'hidop', 'korg', 'ape', 'students', 'hidop', 'susah', 'mmg', 'nak', 'susahkan', 'hidop', 'students']"
['0'],"['toklh', 'tidur', 'punyo', 'pasal', 'assignment']"
['1'],"['ayam', 'jenisnya', 'laris', 'ayam', 'kampus', 'harganya', 'fantastis', 'berkualitas', 'incaran', 'om-om', 'awkward', 'daddy', 'kota']"
['0'],"['minum', 'air', 'hangat']"
['1'],"['selamat', 'menjalani', 'semester', 'baharu', 'siswa', 'guru', 'ipg', 'ipg', 'kampus', 'pulau', 'pinang', 'nelson', 'mande']"
['-1'],"['lecturer', 'patut', 'assignment', 'minute', 'quiz', 'patut', 'kelas', 'hujung', 'minggu', 'kadang2', 'adik', 'hari2', 'stay', 'assignment', 'habis2', 'dgn', 'kadang2', 'kacau', 'time', 'weekend', 'tu', 'setuju', 'sbb', 'student', 'nak', 'rest']"
['0'],"['harap', 'harap', '2', 'jugak', 'jejak', 'kaki', 'kampus', 'kuantan']"
['0'],"['mengirim', 'foto', '@', 'kampus', 'univa']"
['1'],"['salam', 'sejahtera', 'pelajar', 'kelab', 'pengucapan', 'awam', 'english', 'semester', '4', 'uitm', 'cawangan', 'sarawak', 'kampus']"
['1'],"['sibuk-sibuknya', 'ya', 'dosen', 'pembimbing', 'galak', 'nggak', 'nih', 'sibuk', 'bud']"
['0'],"['sungjin', 'kekdosenbgt']"
['0'],"['pkpd', '13-26', 'jun', '2021', '-', 'kampus', 'universiti', 'utara', 'malaysia', 'uum', 'sintok', 'kedah', 'kampung', 'kadazan', 'tawau', 'sabah', 'perkampungan', 'daerah', 'kota', 'kinabalu', 'sabah', 'kampung', 'lobou', '1', '&amp', 'kampung', 'bukit', 'permai', 'taman', 'villa', 'felca', 'nambazan', 'penampang', 'sabah']"
['0'],"['assignment', 'menggunung']"
['0'],"['takda', 'euro', 'harini', 'focus', 'assignment']"
['-1'],"['segamat', 'haram', 'kejadah', 'babe', 'sumpah', 'kampus']"
['1'],"['hebat', 'orangnya', 'bertemu', 'beijing', 'china', 'beliau', 'tinggal', 'kampus', 'barat', 'beijing', 'foreign', 'studies', 'university']"
['1'],"['slutngor', 'kl', 'person', 'class', 'kelas', 'lambat', 'assignment', 'conclusion']"
['0'],"['lotus', 'biscoff', 'premium', 'flood', 'cookies', '2', 'rm3', 'assignment', '/', 'kerja', 'nak', 'makan', 'benda', 'manis', 'crunchy', 'choc', 'chip', 'yg', 'melt', 'mulut', 'cookies', 'yg', 'jual', 'cod', 'gombak/kl', 'shipping', 'shopee']"
['-1'],"['yg', 'berlaku', 'kampus', 'rule', 'kejap', 'enforce', 'ajaibnya', 'student', 'staf', 'staf', 'bekeluarga', 'bergaul', 'member2', 'student', 'jawapan', 'tu', 'hisap', 'gam', 'mesti', 'tadika', 'pakai', 'kabel']"
['-1'],"['nak', 'assignment', 'larat']"
['1'],"['byk', 'baca', 'student', 'complain', 'pasal', 'odl', 'assignments', 'mcm', 'byk', 'gila', 'faham', 'lecturers', 'nk', 'cover', 'lack', 'phy']"
['1'],"['takde', 'ipg', 'kampus', 'keningau', 'sabah', 'semenanjung', 'sayaaa', 'kenal2']"
['-1'],"['babi', 'laa', 'assignment', 'subjek', 'acc', 'bodo', 'assignment', 'individual', 'lepas', 'tangan', 'shial']"
['0'],"['alamat', 'gerai', '28', 'bangunan', 'pusat', 'persatuan', 'pelajar', 'uitm', 'melaka', 'kampus', 'jasin', 'merlimau', '77300', 'melaka']"
['0'],"['print', '/', 'photostat', 'rumah', 'print', 'surat', 'miti/kerja', 'pdpr', 'anak2', '/', 'assignment', '/kertas', 'kerja', 'lain2', 'size', 'a4', 'black', '&amp', 'white', 'shah', 'alam', 'cod', 'kwsn', 'pos', 'satu2nya', 'income', 'msa', 'whatsapp']"
['0'],"['dosen', 'berhati', 'batu', 'ade', 'armando']"
['0'],"['google', 'sik', 'membantu', 'nyiap', 'assignment', 'tok']"
['1'],"['mood', 'nak', 'speed', 'assignment', 'hujan', 'lebat', 'cuaca', 'tidur']"
['1'],"['sekian', 'terima', 'kasih', 'menjalankan', 'tugas', 'jawatankuasa', 'perwakilan', 'kolej', 'jasmine', 'uitm', 'kampus', 'puncak', 'perdana']"
['0'],"['19', 'july', 'assignment', 'goyang2', 'duluannn', 'rilekk']"
['-1'],"['nak', 'mintak', 'en', 'lect', 'assignment', 'pastu', 'assignment']"
['1'],"['ramai', 'orang', 'kolej/uni', 'turun', 'berat', 'student', 'kadang-kadang', 'struggle', 'nak', 'makan', 'belajar', 'kat', 'uia', 'gombak', 'berat', 'makanan', 'murah', 'sedap', 'mana-mana', 'kat', 'kampus']"
['1'],"['layan', 'assignment/wfh', 'craving', 'nak', 'kunyah', 'benda2', 'sedap', '*fattahaminkhaibaharmira', 'filzah', 'pon', 'da']"
['1'],"['pusat', 'pemberian', 'vaksin', 'ppv', 'pandu', 'drive', 'universiti', 'malaysia', 'sabah', 'kampus', 'antarabangsa', 'labuan']"
['1'],"['stay', 'active', 'workout', 'ure', 'busy', 'homework', 'cari', 'sikit']"
['-1'],"['benda', 'dah', 'assignment', 'nak', 'hantar', 'dah', 'kau', 'suruh', 'hidup', 'kau', 'aman', 'hidup', 'aman', 'anjayy']"
['-1'],"['sorg', 'luah', 'assignment', 'kat', 'ek', 'dah']"
['1'],"['vaksinasi', 'covid-19', 'kampus', 'unindra', 'jakarta', 'selatan', 'ppkm', 'cegah', 'penyebaran']"
['-1'],"['iium', 'nak', 'statement', 'dah', 'ramai', 'kene', 'covid-19', 'kampus']"
['1'],"['kalo', 'kampus', 'ntr', 'ketemu', 'brondong', 'buah', 'batu', 'yg', 'adaanda', 'kesulitan', 'perlukan', 'bantuan', 'pelajar', 'kolej', 'kediaman', 'menyewa', 'kampus', 'serdang', 'kesulitan', 'bantuan', 'lengkapkan', 'borang', 'pautan']"
['-1'],"['takkan', 'nak', 'kena', 'kontroversi', 'assignment', 'aduh', 'laa', 'hahahha']"
['1'],"['mengambil', 'langkah', 'proaktif', 'membantu', '50', 'orang', 'sisters', 'kampus', 'gombak', 'safety', 'ala']"
['-1'],"['tau', 'weh', 'tiba2', 'sebak', 'tengok', 'kes', 'ramai', 'kawan2', 'cerita', 'stress', 'dgn', 'assignment', 'personal', 'tau', 'smpai', 'meninggal', 'ya', 'allah', 'stay', 'strong', 'dah', 'akhir2', 'week', 'dah', 'mmg', 'kejar', 'submission', 'nak', 'individual', 'assignemt', 'acuh', 'acuh', 'dahh', 'banyakkk', 'lahi', 'coq', 'assignment']"
['-1'],"['deshouu', 'hmm', 'patut', 'lerr', 'memperkenalkan', 'sistem', 'assignment', 'camni', 'meiwaku', 'kat', 'budak2']"
['1'],"['kehilangan', '2', 'kawan', 'dlm', 'seminggu', '1', 'kawan', 'kampus', '1', 'kawan', 'seperjuangan', 'serius', 'deh', 'udah', 'thn', '2020', 'pekan', '&amp', 'dpt', 'kabar', 'duka', 'org2', 'yg', 'kenal', 'dgn', 'jaga', '&amp', 'org2', 'yg', 'kasihi']"
['0'],"['meet', '4', 'jam', '4', 'jam', 'sakit', 'otak', 'ketul', 'assignment']"
['0'],"['3', 'julai', '2021', '|', '11', '00', 'makluman', 'mpp', 'upm', 'sesi', '2020/2021', 'pergerakan', 'pelajar', 'upm', 'kampus', 'serdang', 'pusat']"
['-1'],"['pening', 'nk', 'siapkan', 'assignment', 'skrg', 'pening', 'nk', 'final', 'assessment']"
['0'],"['====', 'lowongan', 'kerja', '====', 'polteka', 'mangunwijaya', 'membuka', 'lowongan', 'pekerjaan', 'dosen', 'farmasi', 'deadline', '15', 'juli', '2']"
['-1'],"['wtf', 'dosen', 'ui', 'trus', 'nuduh2', 'mhsiswa', 'institusi', 'tmpt', 'kerja', 'nyogok', 'masuk', 'buka']"
['1'],"['dgn', 'student', 'meninggal', 'dunia', 'stress', 'tidur', 'menimbulkan', 'debat', 'national', 'normality', 'universiti', 'student', 'terpaksa', 'berjaga', '4-5', 'pagi', 'assignment', 'worth']"
['1'],"['berani', 'kritis', 'bergerak', 'menentang', 'bentuk', 'pembungkaman', 'kebebasan', 'akademik', 'kampus', 'era', 'presiden', 'alumni', 'tekanan', 'pengawasan', 'aktivitas', 'mahasiswa', 'bersatu']"
['-1'],"['benda', 'nak', 'difikirkan', 'kerjaa', 'berlambak', 'assignment', 'berlambak', 'takda', 'nak', 'fikirkan', 'awk']"
['0'],"['nahh', 'bkn', 'dilapangan', 'yaa', 'dikampus', 'dibagian', 'laboratorium', 'mineralogi', 'batu', 'pijak']"
['-1'],"['stay', 'kampus', 'kes']"
['0'],"['majlis', 'perwakilan', 'pelajar', 'uitm', 'cawangan', 'negeri', 'sembilan', 'kampus', 'kuala', 'pilah', 'sesi', '2020/2021']"
['1'],"['ngewe', 'dosen', 'biar', 'kasih', 'nilai', 'bagus']"
['1'],"['cakap', 'kat', 'students', 'faham', 'tgh', 'assignment', 'sbb', 'tu', 'nak', 'submission', 'yg']"
['1'],"['asrama', 'ipg', 'kampus', 'tawau', 'jalan', 'balung', 'sabah']"
['0'],"['nak', 'settlekan', '6assignment', 'nak', 'merata', 'dh', 'kat', 'bilik', 'ruang', 'tamu', 'school']"
['1'],"['selling', 'frunchie', 'viscoff', 'mouthgasm', 'mellow', 'makan', 'assignment', 'hehe', 'rt', 'biar', 'orang', 'korang', 'nak', 'diorang', 'suprise', 'belanja', 'korang']"
['0'],"['posted', 'photo', '@', 'institut', 'pendidikan', 'guru', 'kampus', 'bahasa', 'melayu']"
['-1'],"['assignments', 'pastu', 'kena', 'hantar', 'jugak', 'dah', 'nait', 'sem', 'susah', 'assignments', 'huhu']"
['0'],"['jawatankuasa', 'perwakilan', 'kolej', 'jpk', 'kolej', 'casuarina', 'sesi', '2021/2022', 'uitm', 'cawangan', 'selangor', 'kampus', 'puncak', 'alam', 'imp']"
['1'],"['perhatian', 'pelajar', 'kampus', 'anak', 'kelahiran', 'negeri', 'selangor', 'berma']"
['1'],"['kerja', 'tu', 'layan', 'assignment', 'tengok', 'netflix', 'study', 'ha', 'korang', 'ajak', 'mellow', 'crun']"
['-1'],"['bodo', 'dah', 'week', 'berlambak', 'assignments', 'ko', 'simpan', 'kiasu', 'kau', 'ala', 'bodohnya', 'kau', 'tampo']"
['0'],"['bangunan', 'pentadbiran', 'usim', 'bangunan', 'canselori', '2005', 'kuim', 'berpindah', 'kampus', 'bandar', 'nilai', 'negeri', 'sembilan', 'pusat', 'pentadbiran']"
['0'],"['bidang', 'odl', 'student', 'settle', 'hantar', 'assignment', '5pagi', 'sumpah', 'gemok']"
['-1'],"['nak', 'tanyalah', 'time', 'pkpd', 'nak', 'print', 'surat', 'assignment', 'kedai', 'tutup', 'macamana', 'ya', 'inisiatif', 'beli', 'printer']"
['1'],"['ayuh', 'muslimin', 'muslimat', 'kampus', 'besut', 'hadirkan', 'mengisi', 'rohani', 'ilmu-ilmu', 'berman']"
['0'],"['asrama', 'ipg', 'kampus', 'tawau', 'jalan', 'balung', 'sabah']"
['0'],"['malam', 'menjelang', 'pertandingan', 'tim', 'intens', 'berlatih', 'kampus', 'larut', 'malam', 'maklum']"
['-1'],"['ya', 'allah', 'sem', 'assignment', 'video', 'lab', 'report', 'drama', 'korea', 'lepas']"
['0'],"['nak', 'tengok', 'anime', 'ngantuk', 'satg', 'mai', 'assignment', 'gedik', 'nak', 'tengok']"
['1'],"['yeayyy', 'alhamdulillah', 'kluster', 'kampus', 'cheras', 'tamat', 'harini']"
['0'],"['jemputan', 'mengikuti', 'program', 'cardio', 'fit', 'attack', 'anjuran', 'fakulti', 'sains', 'sukan', 'rekreasi', 'uitm', 'cawangan', 'negeri', 'sembilan', 'kampus', 'seremban', '*tarikh*', '2', 'july', '2021', 'jumaat', '*masa*', '9pm', '-', '11pm', '*platform*', 'youtube', 'fosrec', 'official']"
['1'],"['hahahahahahaha', 'min', 'harimau', 'dqh', 'bangun', 'ku', 'sabar', 'benci', 'assignment', 'seb']"
['-1'],"['pemandu', 'bawa', 'cac', 'kk', 'batu', '8', 'dah', 'bebel-bebel', 'risau', 'kes', 'cepat', 'merebak', 'kampus', 'tutup', 'cepat']"
['1'],"['assignment', 'eia', 'kat', 'penang']"
['1'],"['aminnn', 'cepat', 'kelarnyq', 'skiripsinya', 'dosen', 'sehat', 'ya']"
['0'],"['dr', 'nurhamimah', 'binti', 'zainal', 'abidin', 'pensyarah', 'pusat', 'pengajian', 'biologi', 'uitm', 'kampus', 'kuala', 'pilah', 'memperkenalka', 'dah', 'dorg', 'kerja', 'minute', 'teruk', 'student', 'yg', 'hantar', 'assignment', 'minute']"
['-1'],"['letih', 'dh', 'odl', 'mental', 'breakdown', 'gila', 'babi', 'paham', 'sem', 'assignment', 'berduyun']"
['-1'],"['malas', 'siapkanlah', 'report', 'assignment', 'tu', 'draft', 'kena', 'send', '14thjune', 'sims', 'veghi', 'lezi']"
['-1'],"['uia', 'terjawab', 'warga', 'uia', 'lonjakan', 'kes', 'kampus', 'gombak']"
['-1'],"['mahasiswa', 'aja', 'panik', 'dosen', 'ikutan', 'panik', 'keadaannya']"
['1'],"['uiam', 'kampus', 'kuantan', 'kampus', 'budak', 'sains', 'hang', 'nak', 'doktor', 'dentist', 'hang', 'pi', 'hang', 'xjumpa']"
['1'],"['program', 'mental', 'health', 'talk', 'anjuran', 'jawatankuasa', 'perwakilan', 'kolej', 'jpk', 'uitm', 'cawangan', 'negeri', 'sembilan', 'kampus', 'rembau', 'panel', 'istimewa', 'encik', 'nasrullah', 'bin', 'zainal', 'abidin', 'pegawai', 'psikologi', 'uitm', 'kampus', 'rembau']"
['-1'],"['mengikuti', '1', 'forum', 'mic', 'dimatikan', '2', 'kampus', 'diancam', 'gak', 'lulus', '3', 'jalanan', 'dihadang', 'aparat', '4', 'media', 'sosial', 'diancam', 'uu', 'ite']"
['1'],"['kakssusjjsjs', 'pretty', 'kampus', 'foundation', 'main', 'campus', 'uia', 'bangunan', 'serius', 'gempak']"
['-1'],"['yall', 'assignment', 'cakap', 'bahasa', 'kelantan', 'faham', 'bodo']"
['1'],"['foto', 'dosen', 'pembimbing', 'senyum', 'ngacungin', 'jempol']"
['0'],"['week', '11', 'students', 'bertungkus', 'lumus', 'kejar', 'siapkan', 'assignment', 'lecturer', 'bag']"
['0'],"['grand', 'andara', 'regency', 'hadirkan', 'hunian', 'premium', 'lokasi', 'terbaik', 'kota', 'batu', 'kampus', 'umm']"
['0'],"['dengar', 'lagu', 'cigarettes', 'sex', 'time', 'molah', 'assignment', 'nang', 'sik', 'cun', 'abis', 'sikpa', 'lagu']"
['-1'],"['mental', 'health', 'dah', 'koyak', 'kena', 'kurung', 'kampus', 'berbulan2', 'perangai2', 'pemimpin', 'politaik', 'kepala', 'wutoh']"
['1'],"['morning', 'barai', 'harini', 'semalam', 'siapkan', 'assignment', '4', 'pagi', 'lepastu', 'kelas', 'ganti', 'pagi']"
['1'],"['habis', 'paper', 'dah', 'tepp', 'mantappp', 'assignment', 'pon', 'settle']"
['0'],"['kampus', 'shah', 'alam', '&gt', 'dosen', 'mahasiswa', 'smt', '5']"
['1'],"['selamat', 'adik2', 'lulus', 'jalur', 'kampus', 'semoga', 'dijadikan', 'batu', 'loncatan', 'kesuksesan']"
['-1'],"['main', 'kampus', 'orang', 'gadeng', 'kerja']"
['0'],"['asrama', 'ipg', 'kampus', 'bahasa', 'antarabangsa', 'jalan', 'lembah', 'pantai', 'kuala', 'lumpur']"
['0'],"['pih', 'kansil', 'phi', 'prof', 'bakri', 'tergantung', 'dosen']"
['-1'],"['ak', 'nangis', 'ciel', 'assignment', 'twitter', 'acc', 'pulak', 'tu', 'hahahaha']"
['1'],"['rss', 'yg', 'jatuh', 'cinta', 'students', '&amp', 'yg', 'jerawat', 'asyik', 'muncul', 'assignment']"
['-1'],"['tau', 'dibelajar', 'berdua', 'kampus', 'lembah', 'pantai', 'dah', 'kuasa', 'dua-dua', 'kepala', 'baghal']"
['1'],"['alang2', 'mahasiswa', '03', 'nak', 'masuk', 'alam', 'uni', 'pick', 'collab', 'kpt', 'buka', 'ppv', 'uni', 'khas', 'mahasiswa', 'mahasiswa', 'kampus', 'menerima', 'vaksin', 'lepas', 'tu', 'pemberian', 'mahasiswa', 'berperingkat']"
['1'],"['yg', 'ipg', 'kampus', 'kota', 'bharu', 'dptkn', 'link']"
['-1'],"['pelajar', 'dibenarkan', 'dah', 'terkurung', 'kampus', 'months', 'tiber', 'kluster', 'kampus', 'salah', 'student', 'student', 'kes', 'disclosed', 'announcement']"
['0'],"['trylah', 'duk', 'laptop', '8', 'pagi', '5', 'petang', 'pastu', 'malam', 'hadap', 'laptop', 'assignment']"
['1'],"['perpustakaan', 'tun', 'abdul', 'razak', 'uitm', 'cawangan', 'pahang', 'kampus', 'raub', 'selamat', 'pustakawan', 'semu']"
['-1'],"['udah', 'rahasia', 'rapat', 'penjamban', 'klo', 'artis', 'ya', 'undang', 'burung', 'merpati', 'ayam', 'kampus', 'dll', 'rapat', 'sehari']"
['1'],"['rindu', 'nak', 'study', 'business', 'law', 'awak', 'assignment', 'tu', 'day']"
['0'],"['assignment', 'tax', 'ilman', 'puteri', 'nadia', 'sorang', 'dungun', 'kelas', 'sksksk', 'kelas', 'apedehal']"
['-1'],"['assignment', 'complicated', 'gini', 'kerja', 'kick', 'jelah', 'nama', 'takyah', 'songeh', 'huhu']"
['1'],"['pelajar', 'dijemput', 'hadir', 'sekian', 'terima', 'kasih', 'anjuran', 'ehwal', 'islam', 'majlis', 'perwakilan', 'pelajar', 'uitm', 'kampus', 'kuala', 'pilah']"
['1'],"['20', 'pek', 'diagihkan', 'kampus', 'melaka', 'alhamdulillah', 'urusan', 'selesai', 'sumbangan', 'ti']"
['-1'],"['kisahlah', 'regulations', 'uia', 'sepatutnya', 'bertanggungjawab', 'sekurang', 'kurangnya', 'memaklumkan', 'bahawa', 'covid-19', 'kampus', 'gombak', 'terkawal', 'langsung', 'takde']"
['0'],"['kesimpulan', 'assignment', 'bertimbun']"
['0'],"['wey', 'da', 'nich', 'tambun']"
['-1'],"['suruh', 'banding', 'berjalan', 'kaki', 'tu', 'takpe', 'bang/kak', 'banyaknya', 'assignment', 'nak', 'double']"
['1'],"['bacakan', 'yaasin', 'ramai', 'budak', 'kampus', 'pahang', 'semoga', 'arwah', 'ditempatkan', 'kalangan', 'orang', 'beriman', 'aamiin']"
['-1'],"['assignment', 'nak', 'biuk', 'dpt', 'groupmate', 'nak', 'kdk', 'masok', 'uni', 'cable', 'jak', 'kdk', 'sik', 'abis', 'skolah', 'ehp', 'dpt', 'masok', 'uni', 'juak', 'mintak', 'intro', 'nama', 'jak', 'dsend', 'kdk', 'nyuroh', 'explain', 'maksud', 'rah', 'namanya', 'haish']"
['1'],"['kesian', 'student', 'skrg', 'mesti', 'gila', 'assignment', 'lecture', 'tu', 'kelas', 'yg', 'bertabah', 'stu']"
['1'],"['kasih', 'paham', 'slur', 'dosen', 'indo', 'tuh', 'gimana']"
['-1'],"['penat', 'baling', 'kang', 'assignment']"
['0'],"['kampus', 'surabaya', 'universitas', 'putra', 'bangsa', 'kah']"
['-1'],"['eii', 'geramnyaaa', 'kolej', 'nk', 'building', 'qs', 'dgn', 'paneihhnya', 'igt', 'sorang', 'jeke', 'kampus', 'jalan', 'kaki', 'njiirrrr']"
['0'],"['nungguin', 'rr']"
['0'],"['atleast', 'siel', 'assignment']"
['0'],"['umk', 'kampus', 'bachok', 'kota', 'bharu', 'kelantan']"
['0'],"['tiba2', 'dejavu', 'yg', 'online', 'discussion', 'utk', 'assignment', 'dgn', 'grpmate', 'idk', 'covid', 'kena', 'kuarintin']"
['1'],"['politeknik', 'ati', 'makassar', 'laksanakan', 'vaksinasi', 'covid-19', 'dosis', 'makassar', '–', 'politeknik', 'ati', 'makassar', 'vaksinasi', 'covid-19', 'dosis', 'dilaksanakan', 'aula', 'kampus']"
['1'],"['dosen', 'karyawan', 'institut', 'teknologi', 'dirgantara', 'adisutjipto', 'jalani', 'vaksinasi', 'covid-19']"
['1'],"['coba', 'cek', 'inii', 'nih', 'depok', 'deket', 'kampus', 'beb']"
['0'],"['gym', 'assignment']"
['0'],"['friendship', 'assignment']"
['0'],"['1999', 'joki', 'tugas', 'kuliah', 'spess']"
['0'],"['rt', 'saipul', 'berani', 'nyuruh', 'dosen']"
['1'],"['rt', 'understood', 'assignment']"
['1'],"['rt', 'understood', 'assignment']"
['0'],"['patience', 'trader’s', 'superpower', 'today’s', 'assignment', 'wait', 'perfect', 'setup', 'don’t', 'force', 'trades', 'share', 'setup', 'day', 'american', 'dream', 'trading', 'community', 'let’s', 'master', 'patience']"
['0'],"['dyma', 'rai', 'tips', 'gan', 'ysgol', 'hanes', 'gyfraith', 'gwyddorau', 'cymdeithas', 'allai', 'fod', 'gyda', 'adolygu', '-------------------------', 'revision', 'assignment', 'season', 'moment', 'tips', 'school', 'history', 'law', 'social', 'sciences']"
['0'],"['rt', 'vogue', 'assignment', 'ellemen', 'understands', 'situation', '#…']"
['-1'],"['rt', 'ya', 'bayar', 'buzzer', 'institusi', 'tukin', 'dosen']"
['0'],"['rt', 'shooting', 'documentary', 'assignment', 'mbita', 'mornings', 'late', 'evenings', 'opportunit…']"
['1'],"['ambil', 'sisi', 'baiknya', 'ya', 'guys', 'shik', 'shak', 'shok', 'tiba2', 'gueee', 'berterima', 'kasih', 'kpd', 'dosen', 'yg', 'memercayakan', 'amanah', 'kpd', 'semoga', 'berkah', 'aamiin']"
